Company name,Industry group,Country,Full time employees,Risk rating score,Risk rating assessment,Industry group position,Industry group positions total,Universe position,Universe positions total,Company description
361 Degrees International Ltd.,Textiles & Apparel,China,"7,862",18.8,Low Risk,136,206,3675,15785,"361 Degrees International Ltd is a Chinese manufacturer of sporting goods. The company produces sporting goods. Its segments include adults and kids. 361 Degrees International reports revenue across four product lines: footwear, apparel, accessories, and others. Footwear and apparel are the important product lines, each contributing close to half the company's revenue, and the majority of sales are made across the adult segment. Adults-this segment derives revenue from manufacturing and trading of adult sporting goods. Kids- this segment derives revenue from the trading of kid's sporting goods. The company derives the majority of its revenue domestically."
37 Interactive Entertainment Network Technology Group Co. Ltd.,Software & Services,China,"3,552",14.3,Low Risk,38,1106,1374,15785,"37 Interactive Entertainment Network Technology Group Co Ltd is involved in interactive entertainment business mainly focuses on the research, development, publishing, and operation of mobile games and browser games, while arranging pan-entertainment business including film and TV, animation, music. The company steadily promoted the development strategy of platformization, globalization, and pan-entertainment for interactive entertainment business based on IP."
3D Systems Corp.,Technology Hardware,United States of America,"2,032",23.0,Medium Risk,489,652,6322,15785,"3D Systems Corp provides comprehensive 3D printing and digital manufacturing solutions, including 3D printers for plastics and metals, materials, software, on-demand manufacturing services, and digital design tools. The company's segments include Healthcare Solutions and Industrial Solutions. It generates maximum revenue from the Industrial segment. It conducts business through various offices and facilities located throughout the Americas, EMEA, and APAC; generating a vast majority of revenues from the Americas."
3i Group Plc,Diversified Financials,United Kingdom,249,10.4,Low Risk,18,912,340,15785,"3i Group PLC is a closed-ended investment fund. It is an international investor engaged in private equity, infrastructure, and debt management. Its business segments are Private Equity, Infrastructure, and Scandlines. The private equity segment invests in business services, consumer, healthcare, and industrial sectors. Its infrastructure segment invests in utilities, transportation, and social infrastructure. Geographically, it derives a majority of revenue from the UK and also has a presence in Northern Europe and North America."
3M Co.,Industrial Conglomerates,United States of America,"92,000",41.0,Severe Risk,73,125,14665,15785,"3M is a multinational conglomerate that has operated since 1902, when it was known as Minnesota Mining and Manufacturing. The company is well known for its research and development laboratory and it leverages its science and technology across multiple product categories. As of 2020, 3M is organized into four business segments: safety and industrial, transportation and electronics, healthcare, and consumer. Nearly 50% of the company’s revenue comes from outside the Americas, with the safety and industrial segment constituting a plurality of net sales. Many of the company’s 60,000-plus products touch and concern a variety of consumers and end markets."
3M India Ltd.,Industrial Conglomerates,India,"1,108",20.7,Medium Risk,1,125,4830,15785,"3M India Ltd is an Indian conglomerate operating in various industries. The company's operating segments include Safety and Industrial which includes vinyl, polyester, foil, and specialty industrial tapes and adhesives and other specialty Materials. Transportation and Electronics consist of personal protection products, border control products, and passive fire protection products. Consumer business includes products scotch brand, adhesives, packaging protection platforms, and others whereas the Healthcare segment consists of medical and surgical supplies, medical devices, skin and wound care and infection prevention products and solutions, drug delivery systems, dental and orthodontic products, and food safety products."
"3peak, Inc.",Semiconductors,China,653,21.2,Medium Risk,94,344,5172,15785,"3Peak Incorporated is a semiconductor company focusing on high quality and high performance Analog products and technologies. The company's products audio amplifiers, video amplifiers, comparators, high-speed convertor, high precision convertor, interface products, linear regulator, power monitoring product, and other related products."
3R Petroleum Óleo e Gás SA,Oil & Gas Producers,Brazil,N/A,56.7,Severe Risk,281,312,15716,15785,"3R Petroleum Oleo E Gas SA is engaged in the oil and gas sector with a focus on redevelopment of mature production fields located on land. Its purpose is to explore, produce, and sell oil and its derivatives, natural gas, and other fluid hydrocarbons."
"3SBio, Inc.",Pharmaceuticals,China,"5,311",26.5,Medium Risk,279,896,8746,15785,"3SBio Inc, or 3SBio, is one of the largest and most established biotech drugmakers in China. In 2021, it reported revenue of CNY 6.3 billion. Approximately 90% of its revenue is derived from four core drugs: TPIAO (rhTPO), Yisaipu (biosimilar of etanercept, a TNF-alpha inhibitor), rhEPO, and Mandi (minoxidil). With the exception of minoxidil, an over-the-counter drug, the others are all older generation biologics. Most of the pipeline candidates are ""me-too"" drugs and in general are still at an early stage."
407 East Development Group GP,Construction & Engineering,Canada,N/A,44.0,Severe Risk,276,353,15030,15785,N/A
"407 International, Inc.",Transportation Infrastructure,Canada,477,10.2,Low Risk,24,187,317,15785,"407 International Inc is engaged in infrastructure operations. The company is involved in the operation, maintenance, and management of Highway and lane widenings."
"4D Molecular Therapeutics, Inc.",Pharmaceuticals,United States of America,144,27.4,Medium Risk,332,896,9267,15785,"4D Molecular Therapeutics Inc a clinical-stage gene therapy company engaged in the development of product candidates using targeted and evolved AAV vectors. It has built portfolio of gene therapy product candidates focused in three therapeutic areas: ophthalmology (intravitreal vector), cardiology (intravenous vector) and pulmonology (aerosol vector). It has three product candidates in clinical trials: 4D-125 for the treatment of X-linked retinitis pigmentosa in a Phase 1/2 clinical trial, 4D-110 for the treatment of choroideremia in a Phase 1 clinical trial, and 4D-310 for the treatment of Fabry disease in a Phase 1/2 clinical trial. Its two IND candidates are 4D-150 for the treatment of wet age-related macular degeneration, and 4D-710 for the treatment of cystic fibrosis lung disease."
4imprint Group Plc,Media,United Kingdom,"1,417",17.2,Low Risk,152,294,2703,15785,"4imprint Group PLC is engaged in the sale and distribution of promotional products. The company operates in two geographical segments; North America and the United Kingdom and Ireland, Out of which a majority of its revenue is derived from the North American segment. Its products comprise apparel, stationery, technology, and food products among others. The company's plan of action involves achieving organic growth. This implies the use of data-driven, offline, and online direct marketing techniques thereby capturing large and fragmented promotional product markets."
501(c) Agencies Trust,Diversified Financials,United States of America,N/A,35.1,High Risk,720,912,13255,15785,"501(c) Agencies Trust is an organization that helps nonprofits handle the practice of not paying the state unemployment tax and only reimbursing for claims. It is headquartered in San Jose, CA."
"5E Advanced Materials, Inc.",Chemicals,United States of America,43,42.0,Severe Risk,518,569,14800,15785,"5E Advanced Materials Inc is engaged boron specialty advanced materials and lithium with a focus on enabling decarbonization, including electric transportation, clean energy, and food security."
5I5J Holding Group Co. Ltd.,Real Estate,China,"33,820",14.9,Low Risk,351,1044,1619,15785,"5I5J Holding Group Co Ltd is a digital-driven residential service platform operator. The company's main business includes real estate brokerage services, residential asset management, commercial real estate operations, and residential derivative businesses."
7-Eleven Malaysia Holdings Bhd.,Food Retailers,Malaysia,"11,069",24.6,Medium Risk,122,194,7445,15785,"7-Eleven Malaysia Holdings Bhd is a company that is principally engaged in a convenience-store business under the 7-Eleven brand name. 7-Eleven Malaysia Sdn. Bhd, the company's wholly-owned subsidiary, owns and operates 7-Eleven stores across Malaysia. It provides ready-to-eat hot food, packaged fresh food, bakery, soft drinks, frozen beverages, coffee, and other products. It also offers a wide range of services, including bill payment service, sale of mobile phone reload cards, photocopying, and fax. In addition to operating self-owned stores, the company also franchises local firms through its franchising system."
"7-Eleven, Inc.",Food Retailers,United States of America,N/A,35.5,High Risk,194,194,13404,15785,N/A
888 Holdings Plc,Consumer Services,Gibraltar,"11,861",19.0,Low Risk,141,509,3799,15785,"888 Holdings PLC is an online betting and gaming company. The company operates in three business segments; The Retail segment comprises all activity undertaken in LBOs including gaming machines, The UK Online segment comprises all online activity, including sports betting, casino, poker, and other gaming products along with telephone betting services that are incurred within the UK and Ireland, and The International segment comprises all online activity, including sports betting, casino, poker, and other gaming products along with telephone betting services that are incurred within all territories excluding the UK. It derives a majority of its revenue from the United Kingdom."
"8x8, Inc.",Telecommunication Services,United States of America,"1,921",29.9,Medium Risk,161,234,10893,15785,"8x8 Inc provides contact-center-as-a-service and unified-communications-as-a-service software applications to approximately 2.5 million users. The company's unified platform enables omnichannel communication to assist employees in communicating across voice, video, text, chat, and contact centers. Geographically, it derives a majority of revenue from the United States."
"908 Devices, Inc.",Healthcare,United States of America,68,36.8,High Risk,604,623,13882,15785,"908 Devices Inc manufactures medical devices. It has developed an innovative suite of purpose-built handheld and desktop mass spectrometry, or Mass Spec, devices for the point-of-need. Mass Spec devices are used at the point-of-need to interrogate unknown and invisible materials and provide quick, actionable answers to directly address some of the most critical problems in life sciences research, bioprocessing, industrial biotech, forensics, and adjacent markets."
"91APP, Inc.",Software & Services,Taiwan,451,25.8,Medium Risk,862,1106,8288,15785,"91APP Inc is a software as a service company intended to provide shopping cart solutions for merchants. The company's platform offers advanced commerce solutions and marketing solutions that enable retail brands to penetrate the D2C (Direct-to-Consumer) e-commerce market and drive their operational benefits to their full potential, enabling clients with one-stop omnichannel retail solutions."
"A-Living Smart City Services Co., Ltd.",Real Estate,China,"95,733",11.3,Low Risk,128,1044,494,15785,"A-Living Smart City Services, or A-Living, is one of Hong Kong’s first listed property management companies. It was spun off from parent Agile Property Holdings in 2018, with Agile retaining 54%. A-Living generates revenue from providing property management services with a focus on mid-to-high-end properties, as well as value-added services to property owners and nonproperty owners. A-Living operates in over 27 cities and regions across China, with a geographical focus in Guangdong province. Prior to listing, A-Living acquired Greenland Property Services in 2017, which accounted for significant goodwill on the balance sheet. Post listing, the company also announced the major acquisition of CMIG PM."
"A-Mark Precious Metals, Inc.",Diversified Financials,United States of America,413,30.3,High Risk,543,912,11120,15785,"A-Mark Precious Metals Inc is a precious metal trading company. It is principally engaged in the wholesale of gold, silver, platinum and palladium bullion and related products in the form of bars, wafers, coins, and grains. The company's operating segment includes Wholesale Trading and Ancillary Services; Secured Lending and Direct Sales. It generates maximum revenue from the Wholesale Trading and Ancillary Services segment. The Wholesale Trading and Ancillary Services segment comprises business units such as Industrial, Coin and Bar, Trading and Finance, Storage, Logistics, and Mint. Geographically, it derives a majority of its revenue from the United States."
A. O. Smith Corp.,Machinery,United States of America,"12,000",26.6,Medium Risk,208,585,8791,15785,"A.O. Smith Corporation manufactures and markets comprehensive lines of residential and commercial gas, gas tankless, and electric water heaters. Supplementary products include water heating equipment, condensing and noncondensing boilers, and water system tanks. The company's two operating segments are by geographic region: North America (majority of total revenue) and the Rest of the World. A material portion of sales in North America derive from replacing existing products, and the company utilizes a wholesale distribution channel and multiple selling locations. The Rest of the World segment sells majorly in Asian countries and operates sales offices to expand distribution and market its product portfolio."
A.G. BARR Plc,Food Products,United Kingdom,"1,014",24.1,Medium Risk,73,628,7111,15785,"AG Barr PLC manufacture, distribute and sell a range of beverages in the United Kingdom. It distributes its products to wholesalers and retailers. The company's brands include Irn-Bru, Rubicon, Strathmore, and Funkin. It operates in three business segments which include Soft drinks, Cocktail solutions, and others. The majority of sales come from the soft drinks segment, which includes two business units, Barr Soft Drinks, and Boost Drinks. Geographically it generates key revenue from the United Kingdom."
A.P. Møller-Mærsk A/S,Transportation,Denmark,"103,000",17.7,Low Risk,60,397,2954,15785,"A.P. Moller-Maersk is a Denmark-listed global conglomerate involved in global trade, shipping, and energy. Maersk Line, the largest contributor to group revenue and earnings, has been the largest container shipping company globally for more than 20 years. Maersk was founded in 1904 and has since been run by the Moller-Maersk family, which currently holds slightly more than 50% of the share capital. The group has been active over the past few years in divesting noncore operations, such as its long-standing stakes in Danske Bank and Dansk Supermarked as well as its oil and gas operations."
"A10 Networks, Inc.",Software & Services,United States of America,575,20.5,Medium Risk,376,1106,4695,15785,"A10 Networks Inc is a provider of secure application solutions and services that enables a new generation of intelligently connected companies, the ability to continuously improve cyber protection and digital responsiveness across dynamic Information Technology and network infrastructures. Its portfolio consists of six secure application solutions; Thunder Application Delivery Controller, Lightning Application Delivery Controller, Thunder Carrier Grade Networking, Thunder Threat Protection System, Thunder SSL Insight and Thunder Convergent Firewall, and two intelligent management and automation tools; Harmony Controller and aGalaxy TPS. Key revenue is generated from the Americas, with the rest coming from Europe, the Middle East and Africa, plus the Asia Pacific region."
A2A SpA,Utilities,Italy,"13,776",21.3,Medium Risk,118,704,5211,15785,"A2A SpA together with its subsidiaries is engaged in the production, sale, and distribution of electricity; sale and distribution of gas; production, distribution, and sale of heat through district heating networks and integrated water cycle management."
A2Dominion Housing Group Ltd.,Real Estate,United Kingdom,N/A,16.6,Low Risk,496,1044,2441,15785,A2Dominion Housing Group Ltd are engaged in constructing and managing homes in London and Southern England. They offer housing solutions to accommodate clients requirements.
"AAC Technologies Holdings, Inc.",Technology Hardware,China,"25,958",17.2,Low Risk,265,652,2721,15785,"AAC Technologies is one of the world’s largest manufacturers of miniature acoustic components, such as speakers and receivers, primarily for smartphones, which account for under half of its revenue. Founded in 1993, the company has since then expanded into the production of other handset components, such as electromagnetic drives (haptics), precision mechanical (metal casing), lenses and camera modules, and MEMS microphones. AAC is headquartered in Shenzhen, China, and runs factories in China, Vietnam, Czechia, and Malaysia. It employed 27,798 people in December 2022."
"Aadi Bioscience, Inc.",Pharmaceuticals,United States of America,144,26.4,Medium Risk,271,896,8658,15785,"Aadi Bioscience Inc is a clinical-stage biopharmaceutical company developing precision therapies for genetically-defined cancers. Aadi's primary goal is to bring transformational therapies to cancer patients with mTOR pathway driver alterations such as alterations in TSC1 or TSC2 genes, where other mTOR inhibitors have not or cannot be effectively exploited due to problems of pharmacology, effective drug delivery, safety, or effective targeting to the disease site. It has one operating segment, which is the business of developing and commercializing proprietary therapeutic. Geographically, it is located in the United States."
AAK AB,Food Products,Sweden,"4,096",26.7,Medium Risk,117,628,8842,15785,"AAK AB is a Swedish refined vegetable oils producer with sales operations around the world. The company has three business segments: Food ingredients, Chocolate & confectionery fats, and Technical products & feed. The food ingredients segment provides solutions to the bakery, dairy, nutrition, plant-based, & food service industries. The Chocolate & Confectionery Fats segment mainly serves manufacturers of chocolate, spreads, & fillings products as well as customers in the personal care industry. Technical Products & Feed segment provides a growing range of specialized solutions, responding to an increased demand for natural ingredients & sustainability. The majority is from the Food ingredients segment."
Aalberts NV,Machinery,Netherlands,"14,597",23.1,Medium Risk,104,585,6458,15785,"Aalberts NV develops technologies and projects to enhance building and product efficiencies. It offers valve and control technologies, specialized manufacturing processes, and piping systems to distribute water and gas. The firm has two operating segments: Building Technology and Industrial Technology. The services provided rely on technology know-how and a global network of locations to provide informed and timely responses. Aalberts has an extended portfolio of metal and plastic for new builds, renovations, and repairs to existing structures."
Aamal Co. QSC,Industrial Conglomerates,Qatar,N/A,39.4,High Risk,60,125,14417,15785,"Aamal Co QSC provides services to diversified industry sectors. Its operating segments include property, trading and distribution, industrial manufacturing and managed services. The company generates maximum revenue from the trading and distribution segment. It's trading and distribution segment represents a wholesale and retail distribution of pharmaceutical and consumable items, home appliances, medical equipment, tyres and lubricants, and industrial printing."
"AAON, Inc.",Building Products,United States of America,"3,666",22.8,Medium Risk,41,150,6219,15785,"AAON Inc is a manufacturer of air-conditioning and heating equipment. The products include rooftop units, chillers, packaged outdoor mechanical rooms, air-handling units, makeup air units, energy-recovery units, condensing units, geothermal heat pumps, and self-contained units and coils. AAON's products serve the commercial and industrial new construction and replacement markets, primarily in North America."
AAR Corp.,Aerospace & Defense,United States of America,"5,000",34.0,High Risk,48,101,12877,15785,"AAR Corp is engaged in providing products and services to aviation, government, and defense market. It operates in two segments namely Aviation Services and Expeditionary Services. The Aviation Services segment consists of aftermarket support and services businesses that provide spares and maintenance support for aircraft operated by it's commercial and government/defense customers. The Expeditionary Services segment consists of businesses that provide products and services supporting the movement of equipment and personnel by the U.S. Department of Defense, foreign governments, and non-governmental organizations. It generates a majority of its revenue from the Aviation Services Segment."
Aareal Bank AG,Banks,Germany,"3,315",18.7,Low Risk,204,1014,3612,15785,"Aareal Bank AG is the parent company of the Aareal Bank Group, an international purveyor of financing services that specializes in commercial property financing. The group's companies are organized into three business segments: structured property financing and Banking and Digital solutions and Aareon. Under its structured property financing segment, the group serves its customers' projects in Europe, North America, and Asia. The bank's strategic focus emphasizes local market expertise combined with sector-specific knowledge. Its commercial property financing particularly includes office buildings, hotels, retail, logistics, and residential properties. Most of the bank's new financing opportunities take place in Western Europe."
Aarti Drugs Ltd.,Pharmaceuticals,India,"1,003",34.9,High Risk,729,896,13206,15785,"Aarti Drugs Ltd is a pharmaceutical company. It offers active pharmaceutical ingredients (APIs) in a range of therapeutic categories, such as anti-inflammatory, cardioprotectant, antibiotic, antidiabetic, and vitamins among others. The product offerings of the company comprise Aceclofenac, Celecoxib, Moxifloxacin, and others. The firm generates the majority of its revenue from India."
AARTI Industries Ltd.,Chemicals,India,"10,711",23.0,Medium Risk,80,569,6339,15785,"Aarti Industries Ltd manufactures and sells chemicals and chemical-based products in two segments based on the product type. The Specialty chemical segment, which generates the majority of revenue, sells benzene-based chemicals, which are used in agricultural products, dyes and pigments, and flavors and fragrances. The Pharmaceuticals segment sells drugs used to treat diarrhea, inflammation, asthma, as well as antibiotics and antidiabetics. More revenue comes from India than any other country or region."
Aavas Financiers Ltd.,Banks,India,"6,034",26.2,Medium Risk,465,1014,8517,15785,"AAVAS Financiers Ltd is a housing finance company. The company provides housing loans to customers belonging to the low and middle-income and self-employed segments in suburban and rural India. Its only operating segment is Lending to borrowers. The company's product portfolio includes home loans, land purchases and construction, home improvement loans, home equity, micro, small, and medium enterprise loan, and others. It offers customers loans for the purchase or construction of residential properties and the extension and repair of existing housing units."
AB Dynamics Plc,Auto Components,United Kingdom,434,17.9,Low Risk,81,240,3113,15785,"AB Dynamics PLC supplies measurement and testing equipment to the automotive industry. The principal activity of the Group is the design, manufacture, and supply of testing, simulation and measurement products for the global transport market. The Group derives the majority of revenue from Laboratory testing and simulation and includes Track testing. Geographically, key revenue is generated from Asia Pacific that includes the United Kingdom, the Rest of European, North America, and the Rest of the World."
AB Science SA,Pharmaceuticals,France,89,33.8,High Risk,684,896,12818,15785,"AB Science is a France-based pharmaceutical company specialized in the research, discovery, development, and marketing of protein kinase inhibitors. It is engaged in targeted therapies through tyrosine kinase inhibitors for treating diseases with high medical factor in the field of cancer, chronic inflammatory diseases, neurological degenerative disorders and central nervous systems diseases in both human and veterinary medicine."
Abacus Group,Real Estate,Australia,51,13.4,Low Risk,254,1044,1063,15785,"Abacus Property Group is primarily focused on storage and office property, with minor interests in other subsectors such as retail property. Its storage business remains an active acquirer and developer of property. Management separated the storage business in mid-2023. We don't view the separation as creating value in itself, however, we view it as a potential catalyst that could prompt the market to recognize latent value in Abacus' assets. However, it will likely take time for the market to get familiar with the two Abacus vehicles and its new structure."
ABANCA Corporación Bancaria SA,Banks,Spain,"6,140",19.6,Low Risk,227,1014,4201,15785,"Abanca Corporacion Bancaria SA is engaged in providing banking and financial services. The Company offers accounts, deposits, loans, mortgages, debit cards and credit cards, among others."
ABB India Ltd.,Electrical Equipment,India,"3,139",20.7,Medium Risk,61,283,4822,15785,"ABB India Ltd offers systems and services for electrical distribution, power grids and plants, machinery components, and other industrial applications. The engineering company attempts to increase industrial productivity while lowering the environmental impact. The company's revenue is split between its four operating segments: Robotics and Discrete Automation, Electrification, Motion, and Industrial Automation. Solutions can control the entire flow of power plants or be individualized to specific transformers, circuit breakers, motors, and other automated machinery. The company has several manufacturing sites located in India, and the majority of its revenue is generated in India."
ABB Ltd.,Electrical Equipment,Switzerland,"107,430",15.4,Low Risk,18,283,1857,15785,"ABB is a supplier of electrical equipment and automation products. Founded in the late 19th century, the company was created out of the merger of two old industrial companies: ASEA and BBC. Its products include electrical equipment, industrial robots, and equipment used for industrial automation that are sold via approximately 20 business divisions. ABB is the number one or two supplier in two thirds of its product segments."
Abbott Laboratories,Healthcare,United States of America,"115,000",25.2,Medium Risk,278,623,7902,15785,"Abbott manufactures and markets medical devices, adult and pediatric nutritional products, diagnostic equipment and testing kits, and branded generic drugs. Products include pacemakers, implantable cardioverter defibrillators, neuromodulation devices, coronary stents, catheters, infant formula, nutritional liquids for adults, molecular diagnostic platforms, and immunoassays and point-of-care diagnostic equipment. Abbott derives approximately 60% of sales outside the United States."
"AbbVie, Inc.",Pharmaceuticals,United States of America,"50,000",26.9,Medium Risk,300,896,8981,15785,"AbbVie is a pharmaceutical firm with a strong exposure to immunology and oncology. The firm's top drug, Humira, represents close to half of the company's current profits. The company was spun off from Abbott in early 2013. The recent acquisition of Allergan adds several new drugs in aesthetics and women's health."
ABC arbitrage SA,Diversified Financials,France,95,30.2,High Risk,541,912,11091,15785,"ABC arbitrage SA is a France-based company engaged in the design of arbitration strategies in European and American financial markets. The group conducts two types of arbitrage strategies, including arbitrage without market risks, which exploits opportunities that are independent of directional or event risks, and arbitrage with market risks, where various risks involved are systematically identified and hedged using appropriate instruments. ABC Arbitrage also provides asset management services to institutional clients and advisory services for third party institutional clients or qualified investors. The company's funds are managed by ABC arbitrage Asset Management."
"ABC-MART, INC.",Retailing,Japan,"6,120",19.6,Low Risk,298,507,4214,15785,"ABC-Mart Inc is a retailer that focuses on shoes, primarily selling global third-party athletic and non-athletic shoe brands such as Nike, Adidas, Asics, New Balance, Rockport, Vans, Sketchers, and Timberland. The company also develops and manufactures shoes for brands that it licenses or owns, including Danner, LaCrosse, and White's Boots. Most of the company's sales are generated in Japan, where the vast majority of ABC-Mart's stores are located. Most other company stores are located in South Korea and Taiwan."
"AbCellera Biologics, Inc.",Pharmaceuticals,Canada,630,29.7,Medium Risk,489,896,10773,15785,"AbCellera Biologics Inc is an antibody discovery and development engine that’s specifically designed to address the barriers of conventional discovery, finding the optimal clinical candidate with greater precision and speed, getting to the clinic and patients sooner. With the integrated AbCellera platform, the company’s experts search a wide range of diverse antibodies to select the most effective and developable leads fast and set partners up for enduring success. The company have extensive experience forging partnerships with emerging biotechs and leading pharmaceutical companies. AbCellera leverages proprietary hardware, software, and tools along with the latest data science, to operate as strategic partners and help develop optimized solutions faster for any program."
"AbClon, Inc.",Pharmaceuticals,South Korea,58,32.5,High Risk,625,896,12246,15785,Abclon Inc is engaged in the research and development of antibody drugs. Its business sector is divided into Antibody drug and Bio CRO.
